"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","DeMarcus Cousins",8900,"SA@Sac 10:30PM ET",45.705,"Sac"
"PG","Chris Paul",8800,"Mem@LAC 10:30PM ET",45.909,"LAC"
"SF","Kawhi Leonard",8700,"SA@Sac 10:30PM ET",42.386,"SA"
"PF","Blake Griffin",8400,"Mem@LAC 10:30PM ET",41.773,"LAC"
"PG","Eric Bledsoe",6900,"Pho@Den 09:00PM ET",34.955,"Pho"
"SF","Rudy Gay",6800,"SA@Sac 10:30PM ET",38.575,"Sac"
"SF","T.J. Warren",6700,"Pho@Den 09:00PM ET",32.705,"Pho"
"PF/C","LaMarcus Aldridge",6600,"SA@Sac 10:30PM ET",30.875,"SA"
"C","DeAndre Jordan",6600,"Mem@LAC 10:30PM ET",30.909,"LAC"
"SG/SF","Devin Booker",6500,"Pho@Den 09:00PM ET",29.850,"Pho"
"C","Marc Gasol",6200,"Mem@LAC 10:30PM ET",34.944,"Mem"
"C","Pau Gasol",6000,"SA@Sac 10:30PM ET",26.500,"SA"
"PG","Mike Conley",6000,"Mem@LAC 10:30PM ET",35.778,"Mem"
"SF","Danilo Gallinari",5900,"Pho@Den 09:00PM ET",26.950,"Den"
"PG","Emmanuel Mudiay",5700,"Pho@Den 09:00PM ET",28.775,"Den"
"PF","Kenneth Faried",5500,"Pho@Den 09:00PM ET",26.050,"Den"
"PG","Darren Collison",5200,"SA@Sac 10:30PM ET",25.000,"Sac"
"C","Jusuf Nurkic",5100,"Pho@Den 09:00PM ET",26.050,"Den"
"SG/SF","Will Barton",5000,"Pho@Den 09:00PM ET",29.750,"Den"
"SF","Wilson Chandler",4900,"Pho@Den 09:00PM ET",25.500,"Den"
"C","Tyson Chandler",4900,"Pho@Den 09:00PM ET",25.750,"Pho"
"PF","Zach Randolph",4900,"Mem@LAC 10:30PM ET",26.525,"Mem"
"C","Alex Len",4800,"Pho@Den 09:00PM ET",22.886,"Pho"
"PF/C","Nikola Jokic",4700,"Pho@Den 09:00PM ET",20.700,"Den"
"SG","Gary Harris",4500,"Pho@Den 09:00PM ET",19.400,"Den"
"SG","J.J. Redick",4300,"Mem@LAC 10:30PM ET",19.568,"LAC"
"SF","Vince Carter",4300,"Mem@LAC 10:30PM ET",21.950,"Mem"
"PG","Patty Mills",4200,"SA@Sac 10:30PM ET",20.500,"SA"
"PG/SG","Brandon Knight",4100,"Pho@Den 09:00PM ET",19.409,"Pho"
"SG","Jamal Crawford",4100,"Mem@LAC 10:30PM ET",19.409,"LAC"
"SF","Chandler Parsons",4100,"Mem@LAC 10:30PM ET",14.875,"Mem"
"PF","Jared Dudley",4000,"Pho@Den 09:00PM ET",19.341,"Pho"
"PG","Tony Parker",3900,"SA@Sac 10:30PM ET",17.357,"SA"
"SG/SF","James Ennis",3900,"Mem@LAC 10:30PM ET",20.450,"Mem"
"PG","Jameer Nelson",3800,"Pho@Den 09:00PM ET",17.775,"Den"
"SG","Danny Green",3800,"SA@Sac 10:30PM ET",14.500,"SA"
"PF","David Lee",3800,"SA@Sac 10:30PM ET",15.705,"SA"
"PF/C","Marreese Speights",3800,"Mem@LAC 10:30PM ET",18.432,"LAC"
"PG/SG","Jamal Murray",3700,"Pho@Den 09:00PM ET",13.325,"Den"
"C","Dewayne Dedmon",3600,"SA@Sac 10:30PM ET",13.773,"SA"
"PG/SG","Raymond Felton",3600,"Mem@LAC 10:30PM ET",12.023,"LAC"
"PF","JaMychal Green",3500,"Mem@LAC 10:30PM ET",18.200,"Mem"
"SG/SF","Jonathon Simmons",3400,"SA@Sac 10:30PM ET",15.909,"SA"
"SF","Matt Barnes",3400,"SA@Sac 10:30PM ET",18.523,"Sac"
"SG","Tony Allen",3400,"Mem@LAC 10:30PM ET",15.625,"Mem"
"SF","P.J. Tucker",3300,"Pho@Den 09:00PM ET",14.591,"Pho"
"PF","Marquese Chriss",3300,"Pho@Den 09:00PM ET",12.227,"Pho"
"PG","Ty Lawson",3300,"SA@Sac 10:30PM ET",19.750,"Sac"
"SG","Manu Ginobili",3300,"SA@Sac 10:30PM ET",16.900,"SA"
"PG","Austin Rivers",3300,"Mem@LAC 10:30PM ET",14.727,"LAC"
"C","Juancho Hernangomez",3100,"Pho@Den 09:00PM ET",9.688,"Den"
"SG","Arron Afflalo",3100,"SA@Sac 10:30PM ET",15.523,"Sac"
"C","Kosta Koufos",3100,"SA@Sac 10:30PM ET",16.227,"Sac"
"PG","Tyler Ulis",3000,"Pho@Den 09:00PM ET",7.450,"Pho"
"PG","Malik Beasley",3000,"Pho@Den 09:00PM ET",4.625,"Den"
"SG","Mike Miller",3000,"Pho@Den 09:00PM ET",5.167,"Den"
"SG","Leandro Barbosa",3000,"Pho@Den 09:00PM ET",9.450,"Pho"
"SG","John Jenkins",3000,"Pho@Den 09:00PM ET",0.000,"Pho"
"SF","Derrick Jones Jr.",3000,"Pho@Den 09:00PM ET",0,"Pho"
"PF","Darrell Arthur",3000,"Pho@Den 09:00PM ET",6.000,"Den"
"PF","Jarnell Stokes",3000,"Pho@Den 09:00PM ET",5.250,"Den"
"PF","Dragan Bender",3000,"Pho@Den 09:00PM ET",7.156,"Pho"
"C","Alan Williams",3000,"Pho@Den 09:00PM ET",2.125,"Pho"
"PG/SG","Garrett Temple",3000,"SA@Sac 10:30PM ET",13.614,"Sac"
"PG","Nicolas Laprovittola",3000,"SA@Sac 10:30PM ET",7.393,"SA"
"PG","Bryn Forbes",3000,"SA@Sac 10:30PM ET",2.167,"SA"
"PG","Dejounte Murray",3000,"SA@Sac 10:30PM ET",2.250,"SA"
"SG/SF","Kyle Anderson",3000,"SA@Sac 10:30PM ET",12.175,"SA"
"SG","Ben McLemore",3000,"SA@Sac 10:30PM ET",11.833,"Sac"
"SG","Malachi Richardson",3000,"SA@Sac 10:30PM ET",1.750,"Sac"
"SF/PF","Anthony Tolliver",3000,"SA@Sac 10:30PM ET",7.792,"Sac"
"PF","Omri Casspi",3000,"SA@Sac 10:30PM ET",9.542,"Sac"
"PF","Davis Bertans",3000,"SA@Sac 10:30PM ET",4.719,"SA"
"PF","Skal Labissiere",3000,"SA@Sac 10:30PM ET",11.750,"Sac"
"C","Willie Cauley-Stein",3000,"SA@Sac 10:30PM ET",9.111,"Sac"
"C","Georgios Papagiannis",3000,"SA@Sac 10:30PM ET",2.750,"Sac"
"PG/SG","Andrew Harrison",3000,"Mem@LAC 10:30PM ET",14.417,"Mem"
"PG","Wade Baldwin IV",3000,"Mem@LAC 10:30PM ET",13.857,"Mem"
"SG","Troy Daniels",3000,"Mem@LAC 10:30PM ET",2.167,"Mem"
"SG","Troy Williams",3000,"Mem@LAC 10:30PM ET",6.300,"Mem"
"SF","Paul Pierce",3000,"Mem@LAC 10:30PM ET",0,"LAC"
"SF","Alan Anderson",3000,"Mem@LAC 10:30PM ET",5.750,"LAC"
"SF","Luc Richard Mbah a Moute",3000,"Mem@LAC 10:30PM ET",12.659,"LAC"
"SF","Wesley Johnson",3000,"Mem@LAC 10:30PM ET",11.000,"LAC"
"PF/C","Brandon Bass",3000,"Mem@LAC 10:30PM ET",8.583,"LAC"
"PF/C","Jarell Martin",3000,"Mem@LAC 10:30PM ET",10.861,"Mem"
"PF","Brice Johnson",3000,"Mem@LAC 10:30PM ET",0,"LAC"
"PF","Deyonta Davis",3000,"Mem@LAC 10:30PM ET",6.958,"Mem"
"C","Brandan Wright",3000,"Mem@LAC 10:30PM ET",0,"Mem"
"C","Diamond Stone",3000,"Mem@LAC 10:30PM ET",3.750,"LAC"
