PG,SG,SF,PF,C,G,F,UTIL
7898760,7898811,7898842,7898813,7898915,7898794,7898853,7898918
7898760,7898811,7898842,7898872,7898927,7898794,7898853,7898918
7898760,7898779,7898841,7898871,7898915,7898797,7898853,7898927
7898760,7898779,7898853,7898872,7898915,7898797,7898812,7898918
7898760,7898794,7898853,7898869,7898918,7898804,7898872,7898915
7898760,7898794,7898848,7898869,7898912,7898811,7898872,7898915
7898760,7898811,7898842,7898872,7898908,7898794,7898853,7898918
7898760,7898794,7898853,7898816,7898918,7898804,7898842,7898915
7898760,7898811,7898853,7898817,7898915,7898780,7898779,7898930
7898760,7898811,7898842,7898877,7898871,7898794,7898853,7898918
7898745,7898779,7898853,7898872,7898915,7898728,7898877,7898918
7898760,7898811,7898812,7898871,7898918,7898779,7898872,7898915
7898745,7898728,7898853,7898871,7898930,7898760,7898815,7898918
7898745,7898797,7898853,7898818,7898872,7898760,7898868,7898915
7898760,7898794,7898853,7898818,7898915,7898792,7898888,7898918
7898760,7898794,7898852,7898872,7898918,7898811,7898853,7898871
7898760,7898794,7898779,7898890,7898918,7898811,7898872,7898841
7898760,7898797,7898778,7898872,7898918,7898811,7898853,7898767
7898760,7898811,7898812,7898871,7898912,7898779,7898872,7898915
7898760,7898792,7898848,7898872,7898918,7898744,7898853,7898930
